time,open,high,low,close,regime,direction,h1_direction,h1_adx,m15_adx,atr,atr_ratio,choch,fvg,zone,bos,ob,sweep,session,alert_fired,score,outcome
2026-01-29 19:30:00+00:00,5319.025,5320.035,5291.14,5293.615,1,-1,-1,43.44479423930918,32.98218529017111,25.59687520753815,0.9490302882095007,1,0,1,1,0,0,3,1,0.7,loss
2026-01-29 19:50:00+00:00,5316.185,5317.09,5298.745,5303.88,1,-1,-1,43.44479423930918,33.12471806840284,24.703047631260347,0.9086039862672998,0,0,1,0,0,0,3,1,0.1,loss
2026-01-29 20:00:00+00:00,5306.075,5306.58,5282.98,5294.95,1,-1,-1,43.22898481858845,33.257069933903736,23.764464539198983,0.859956364263489,0,0,1,0,0,1,3,1,0.1,loss
2026-01-29 20:10:00+00:00,5298.2,5310.98,5293.82,5295.995,1,-1,-1,43.22898481858845,33.64087161168448,22.55387503635014,0.8232338795090377,0,0,1,0,0,0,3,1,0.1,loss
2026-01-30 02:25:00+00:00,5163.02,5192.64,5146.87,5172.8,1,-1,-1,36.6496729363549,25.683993683038043,37.03106037705322,1.2108451528504605,0,0,1,0,0,0,2,1,0.15,win
2026-01-30 02:35:00+00:00,5162.65,5222.455,5157.325,5211.135,1,-1,-1,36.6496729363549,25.683993683038043,39.66882246796937,1.2108451528504605,0,0,1,0,0,0,2,1,0.15,win
2026-01-30 02:45:00+00:00,5216.765,5245.03,5216.595,5240.035,1,-1,-1,36.6496729363549,27.84701095736288,37.93094896472864,1.2570767945831696,0,1,1,0,0,0,2,1,0.65,win
2026-01-30 02:55:00+00:00,5217.105,5232.52,5202.6,5225.075,1,-1,-1,37.46057161318309,29.416014811770555,37.128522321628274,1.226548567846521,0,1,1,0,0,0,2,1,0.65,win
2026-01-30 03:05:00+00:00,5208.255,5208.295,5182.005,5204.96,1,-1,-1,37.46057161318309,29.416014811770555,35.95714424671005,1.226548567846521,0,1,1,0,0,0,2,1,0.65,win
2026-01-30 03:15:00+00:00,5181.565,5197.85,5179.755,5190.95,1,-1,-1,37.46057161318309,31.171497986801462,35.029680498438786,1.223132108458333,0,0,1,0,0,0,2,1,0.15,win
