alert_time,regime,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2026-01-14 16:40:00+00:00,TREND,buy,4623.6,4607.342368861608,4659.728069196429,16.6473,6.0213,0.35,approve,trailing_sl,4643.274386160714,163.76,180.43,344.19,19.67,28,True,True
2026-01-14 21:55:00+00:00,TREND,sell,4633.29990234375,4643.752702985491,4610.071456473214,26.5507,3.8714,0.35,approve,sl_hit,4632.719191196987,15.42,0.0,15.42,0.58,1,True,False
2026-01-15 01:55:00+00:00,BREAKOUT,sell,4603.6998046875,4626.553376116071,4552.914090401785,12.1573,8.4643,0.35,approve,sl_hit,4626.553376116071,-277.84,0.0,-277.84,-22.85,116,False,False
2026-01-15 13:35:00+00:00,TREND,sell,4597.4,4611.575,4565.9,19.2085,5.25,0.45,approve,sl_hit,4596.612499999999,15.13,0.0,15.13,0.79,3,True,False
2026-01-15 20:40:00+00:00,TREND,sell,4611.6998046875,4623.541120256696,4585.385770089285,23.0196,4.3857,0.35,approve,sl_hit,4623.541120256696,-272.58,0.0,-272.58,-11.84,16,False,False
2026-01-16 05:45:00+00:00,TREND,buy,4616.20009765625,4607.483011300224,4635.5714006696435,30.6446,3.2286,0.25,approve,sl_hit,4607.483011300224,-267.13,0.0,-267.13,-8.72,6,False,False
2026-01-16 13:20:00+00:00,TREND,sell,4593.79990234375,4609.8265380859375,4558.18515625,16.3346,5.9358,0.45,approve,sl_hit,4609.8265380859375,-261.79,0.0,-261.79,-16.03,9,False,False
2026-01-16 17:20:00+00:00,TREND,buy,4589.6,4568.327800641741,4636.871554129465,12.0605,7.8786,0.45,approve,trailing_sl,4660.345493861607,426.61,171.04,597.65,70.75,56,True,True
2026-01-19 04:30:00+00:00,BREAKOUT,buy,4668.8001953125,4645.175289481027,4721.299986049107,11.3654,8.75,0.35,approve,tp_hit,4721.299986049107,596.68,0.0,596.68,52.5,17,False,False
2026-01-20 05:00:00+00:00,TREND,buy,4701.8001953125,4675.687545340402,4759.828306361607,10.7396,9.6714,0.25,approve,trailing_sl,4731.294280133929,158.38,186.96,345.34,29.49,66,True,True
2026-01-20 13:40:00+00:00,TREND,buy,4735.8001953125,4720.275195312501,4770.3001953125,18.5086,5.75,0.45,approve,trailing_sl,4749.70009765625,128.63,191.56,320.2,13.9,10,True,True
2026-01-20 21:45:00+00:00,TREND,buy,4769.3998046875,4761.3998046875,4785.6422014508935,36.7188,2.7071,0.35,approve,sl_hit,4769.805864606586,14.91,0.0,14.91,0.41,11,True,False
2026-01-21 01:45:00+00:00,BREAKOUT,buy,4830.49990234375,4806.315823800223,4884.2422991071435,12.1588,8.9571,0.35,approve,tp_hit,4884.2422991071435,653.44,0.0,653.44,53.74,56,False,False
2026-01-21 14:10:00+00:00,BREAKOUT,sell,4846.00009765625,4876.047014508928,4779.229171316964,10.2213,11.1285,0.55,approve,tp_hit,4779.229171316964,682.48,0.0,682.48,66.77,64,False,False
2026-01-21 19:35:00+00:00,TREND,sell,4775.1001953125,4808.05946219308,4701.857380022321,9.7322,12.2071,0.35,approve,sl_hit,4808.05946219308,-320.77,0.0,-320.77,-32.96,11,False,False
2026-01-22 04:25:00+00:00,TREND,buy,4797.8001953125,4788.061192103795,4819.442424665179,32.2776,3.607,0.25,approve,trailing_sl,4815.671554129464,288.42,209.57,497.99,17.87,17,True,True
2026-01-22 11:30:00+00:00,TREND,buy,4830.8001953125,4822.430214146206,4849.400153459822,38.7469,3.1,0.4,approve,sl_hit,4831.265194266183,18.02,0.0,18.02,0.46,6,True,False
2026-01-23 04:45:00+00:00,TREND,sell,4959.00009765625,4967.697691127231,4939.672112165178,37.3289,3.2213,0.25,approve,sl_hit,4967.697691127231,-324.67,0.0,-324.67,-8.7,12,False,False
2026-01-23 08:45:00+00:00,TREND,sell,4917.1998046875,4940.940820312499,4864.4419921875,13.402,8.793,0.4,approve,sl_hit,4915.880859375,17.68,0.0,17.68,1.32,10,True,False
2026-01-23 21:45:00+00:00,TREND,buy,4983.70009765625,4975.58107561384,5001.742368861607,39.2328,3.007,0.35,approve,trailing_sl,5023.291448102678,776.64,212.35,988.99,39.59,3,True,True
2026-01-26 08:20:00+00:00,TREND,buy,5094.8998046875,5081.168432617188,5125.41396484375,24.6379,5.0857,0.4,approve,sl_hit,5081.168432617188,-338.31,0.0,-338.31,-13.73,6,False,False
2026-01-26 19:25:00+00:00,TREND,sell,5022.00009765625,5063.444984654017,4929.900348772321,7.9997,15.35,0.35,approve,sl_hit,5019.697603934152,18.42,0.0,18.42,2.3,31,True,False
2026-01-27 00:15:00+00:00,TREND,buy,5047.1,5026.117274693081,5093.728278459822,15.8184,7.7714,0.25,approve,sl_hit,5026.117274693081,-331.91,0.0,-331.91,-20.98,5,False,False
2026-01-27 20:15:00+00:00,TREND,buy,5140.20009765625,5118.368725585938,5188.7142578125,14.8994,8.0857,0.35,approve,trailing_sl,5166.99736328125,199.63,216.85,416.48,26.8,7,True,True
