alert_time,direction,entry_price,sl_price,tp_price,lot_size,atr,score,decision,outcome,exit_price,pnl,partial_pnl,net_pnl,pnl_pips,duration_bars,be_applied,partial_closed
2026-01-06 17:00:00+00:00,buy,4499.49990234375,4491.49990234375,4511.221477399554,27.0095,3.9072,0.35,approve,sl_hit,4491.49990234375,-216.08,0.0,-216.08,-8.0,26,False,False
2026-01-07 01:05:00+00:00,sell,4485.50009765625,4496.600055803571,4468.850160435268,19.0771,5.55,0.25,approve,sl_hit,4484.6676007952,15.88,0.0,15.88,0.83,5,True,False
2026-01-08 01:05:00+00:00,sell,4467.6998046875,4477.199734933035,4453.449909319196,22.3236,4.75,0.25,approve,trailing_sl,4463.899832589285,42.41,132.55,174.96,3.8,7,True,True
2026-01-08 05:45:00+00:00,sell,4428.6998046875,4438.528348214285,4413.956989397321,21.9332,4.9143,0.25,approve,sl_hit,4438.528348214285,-215.57,0.0,-215.57,-9.83,9,False,False
2026-01-08 12:35:00+00:00,sell,4435.00009765625,4445.885770089285,4418.671589006696,19.4072,5.4428,0.45,approve,sl_hit,4434.183672223772,15.84,0.0,15.84,0.82,8,True,False
2026-01-09 01:20:00+00:00,sell,4464.1001953125,4473.5716657366065,4449.892989676339,22.3383,4.7357,0.25,approve,sl_hit,4473.5716657366065,-211.58,0.0,-211.58,-9.47,5,False,False
2026-01-09 13:30:00+00:00,buy,4497.1,4482.7286272321435,4518.657059151786,14.4277,7.1857,0.45,approve,trailing_sl,4506.428431919643,67.29,129.59,196.88,9.33,22,True,True
2026-01-11 23:10:00+00:00,buy,4539.70009765625,4526.971721540179,4558.792661830357,16.5994,6.3642,0.25,approve,tp_hit,4558.792661830357,158.46,132.05,290.51,19.09,11,True,True
2026-01-12 14:10:00+00:00,buy,4607.1,4592.700027901786,4628.699958147322,15.076,7.2,0.45,approve,sl_hit,4608.179997907367,16.28,0.0,16.28,1.08,5,True,False
2026-01-13 05:35:00+00:00,sell,4598.4,4606.471428571428,4586.2928571428565,26.9369,4.0357,0.25,approve,tp_hit,4586.2928571428565,163.06,135.89,298.95,12.11,12,True,True
